*, CJ1
1, 0.846
2, 1.000
3, 1.000
4, 1.000
5, 1.000
6, 0.750
7, 1.000
8, 1.000
9, 1.000
10, 1.000
11, 1.000
12, 1.000
13, 1.000
14, 0.875
15, 1.000
16, 0.750
17, 0.733
18, 0.692
19, 0.250
20, 1.000
21, 0.500
22, 1.000
23, 0.000
24, 1.000
25, 1.000
26, 0.000
27, 0.706
28, 1.000
29, 1.000
30, 0.667
31, 1.000
32, 1.000
33, 0.373
34, 0.833
35, 1.000
36, 0.750
37, 0.000
38, 1.000
39, 1.000
40, 0.929
41, 0.750
42, 1.000
43, 0.700
44, 0.750
45, 0.500
46, 1.000
47, 1.000
48, 0.333
49, 1.000
50, 0.667
51, 0.400
52, 1.000
53, 0.600
54, 1.000
55, 0.930
56, 1.000
57, 1.000
58, 1.000
59, 0.000
60, 0.429
61, 1.000
62, 0.917
63, 1.000
64, 0.500
65, 1.000
66, 1.000
67, 0.000
68, 0.500
69, 0.758
70, 0.500
71, 0.000
72, 0.667
73, 0.857
74, 1.000
75, 0.833
76, 1.000
77, 0.000
78, 0.000
79, 0.500
80, 0.667
81, 1.000
82, 1.000
83, 1.000
84, 1.000
85, 0.714
86, 1.000
87, 0.500
88, 1.000
89, 1.000
90, 0.000
91, 1.000
92, 0.250
93, 1.000
94, 0.333
95, 1.000
96, 1.000
97, 1.000
98, 0.500
99, 0.813
100, 0.750
101, 0.500
102, 0.875
103, 1.000
104, 0.893
105, 0.926
106, 0.500
107, 0.667
108, 0.438
109, 0.875
110, 0.867
111, 1.000
112, 0.750
113, 0.857
114, 0.800
115, 0.400
116, 0.500
117, 0.500
118, 0.000
119, 0.333
120, 0.667
121, 0.667
122, 0.000
123, 0.333
124, 0.333
125, 0.667
126, 0.000
127, 1.000
128, 0.667
129, 0.500
130, 0.500
131, 1.000
132, 0.500
133, 1.000
134, 1.000
135, 1.000
136, 0.000
